SampleID	Row	X1.layer.clusterID	V1	V2	V3
mysnps_1	2	1	1	1	1
mysnps_10	3	1	1	1	1
mysnps_100	87	2	2	5	12
mysnps_101	99	2	2	5	14
mysnps_102	54	2	2	3	8
mysnps_103	55	2	2	3	8
mysnps_104	56	2	2	3	8
mysnps_105	57	2	2	3	8
mysnps_106	58	2	2	3	8
mysnps_107	59	2	2	3	8
mysnps_108	88	2	2	5	12
mysnps_109	68	2	2	4	11
mysnps_11	50	1	1	2	7
mysnps_110	69	2	2	4	11
mysnps_111	70	2	2	4	11
mysnps_112	71	2	2	4	11
mysnps_113	105	2	2	6	15
mysnps_114	106	2	2	6	15
mysnps_115	72	2	2	4	11
mysnps_116	60	2	2	3	8
mysnps_117	107	2	2	6	15
mysnps_118	118	2	2	7	17
mysnps_119	119	2	2	7	17
mysnps_12	108	2	2	6	15
mysnps_120	120	2	2	7	17
mysnps_13	100	2	2	5	14
mysnps_14	121	2	2	7	17
mysnps_15	22	1	1	1	2
mysnps_16	122	2	2	7	17
mysnps_17	51	1	1	2	7
mysnps_18	115	2	2	6	16
mysnps_19	4	1	1	1	1
mysnps_2	5	1	1	1	1
mysnps_20	37	1	1	2	5
mysnps_21	89	2	2	5	12
mysnps_22	52	1	1	2	7
mysnps_23	53	1	1	2	7
mysnps_25	90	2	2	5	12
mysnps_26	91	2	2	5	12
mysnps_27	123	2	2	7	17
mysnps_28	65	2	2	4	10
mysnps_29	73	2	2	4	11
mysnps_3	38	1	1	2	5
mysnps_30	66	2	2	4	10
mysnps_31	6	1	1	1	1
mysnps_32	7	1	1	1	1
mysnps_33	67	2	2	4	10
mysnps_34	124	2	2	7	17
mysnps_35	74	2	2	4	11
mysnps_36	116	2	2	6	16
mysnps_37	101	2	2	5	14
mysnps_38	102	2	2	5	14
mysnps_39	75	2	2	4	11
mysnps_4	125	2	2	7	17
mysnps_40	109	2	2	6	15
mysnps_41	110	2	2	6	15
mysnps_42	92	2	2	5	12
mysnps_43	93	2	2	5	12
mysnps_44	76	2	2	4	11
mysnps_45	61	2	2	3	8
mysnps_46	39	1	1	2	5
mysnps_47	40	1	1	2	5
mysnps_5	8	1	1	1	1
mysnps_50	111	2	2	6	15
mysnps_51	77	2	2	4	11
mysnps_52	48	1	1	2	6
mysnps_53	34	1	1	2	4
mysnps_54	103	2	2	5	14
mysnps_55	132	2	2	7	19
mysnps_56	49	1	1	2	6
mysnps_57	62	2	2	3	8
mysnps_58	94	2	2	5	12
mysnps_59	41	1	1	2	5
mysnps_6	131	2	2	7	18
mysnps_60	98	2	2	5	13
mysnps_61	78	2	2	4	11
mysnps_62	79	2	2	4	11
mysnps_63	80	2	2	4	11
mysnps_64	81	2	2	4	11
mysnps_65	82	2	2	4	11
mysnps_66	63	2	2	3	8
mysnps_67	9	1	1	1	1
mysnps_68	64	2	2	3	9
mysnps_69	117	2	2	6	16
mysnps_7	10	1	1	1	1
mysnps_70	83	2	2	4	11
mysnps_71	84	2	2	4	11
mysnps_72	85	2	2	4	11
mysnps_73	11	1	1	1	1
mysnps_74	12	1	1	1	1
mysnps_75	23	1	1	1	2
mysnps_76	24	1	1	1	2
mysnps_77	86	2	2	4	11
mysnps_78	126	2	2	7	17
mysnps_79	112	2	2	6	15
mysnps_8	127	2	2	7	17
mysnps_80	35	1	1	2	4
mysnps_81	25	1	1	1	2
mysnps_82	128	2	2	7	17
mysnps_83	13	1	1	1	1
mysnps_84	42	1	1	2	5
mysnps_85	43	1	1	2	5
mysnps_86	36	1	1	2	4
mysnps_87	14	1	1	1	1
mysnps_88	15	1	1	1	1
mysnps_89	44	1	1	2	5
mysnps_9	104	2	2	5	14
mysnps_90	45	1	1	2	5
mysnps_91	46	1	1	2	5
mysnps_92	16	1	1	1	1
mysnps_93	17	1	1	1	1
mysnps_94	18	1	1	1	1
mysnps_95	26	1	1	1	2
mysnps_96	27	1	1	1	2
mysnps_97	95	2	2	5	12
mysnps_98	113	2	2	6	15
mysnps_99	96	2	2	5	12
mysnps_rep_1	31	1	1	1	3
mysnps_rep_10	129	2	2	7	17
mysnps_rep_11	19	1	1	1	1
mysnps_rep_12	28	1	1	1	2
mysnps_rep_13	29	1	1	1	2
mysnps_rep_14	47	1	1	2	5
mysnps_rep_2	32	1	1	1	3
mysnps_rep_3	20	1	1	1	1
mysnps_rep_4	21	1	1	1	1
mysnps_rep_5	114	2	2	6	15
mysnps_rep_6	33	1	1	1	3
mysnps_rep_7	30	1	1	1	2
mysnps_rep_8	97	2	2	5	12
mysnps_rep_9	130	2	2	7	17
