name,cluster_1.match,cluster_10.match,cluster_14.match,cluster_16.match,cluster_18.match,cluster_2.match,cluster_20.match,cluster_21.match,cluster_22.match,cluster_23.match,cluster_25.match,cluster_26.match,cluster_28.match,cluster_29.match,cluster_3.match,cluster_31.match,cluster_33.match,cluster_35.match,cluster_37.match,cluster_38.match,cluster_39.match,cluster_4.match,cluster_40.match,cluster_42.match,cluster_44.match,cluster_7.match,cluster_8.match,cluster_9.match
ALL_REPORTS/report_1.tsv,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes
ALL_REPORTS/report_10.tsv,yes,no,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,yes,no,no,no,no,no,no,yes,yes
ALL_REPORTS/report_100.tsv,yes,yes,yes,no,yes,no,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,yes
ALL_REPORTS/report_101.tsv,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,yes
ALL_REPORTS/report_102.tsv,yes,yes,yes,no,yes,no,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,yes
ALL_REPORTS/report_103.tsv,yes,yes,yes,no,yes,no,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,yes
ALL_REPORTS/report_104.tsv,yes,yes,yes,no,yes,no,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,yes
ALL_REPORTS/report_105.tsv,yes,yes,yes,no,yes,no,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,yes
ALL_REPORTS/report_106.tsv,yes,yes,yes,no,yes,no,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,yes
ALL_REPORTS/report_107.tsv,yes,yes,yes,no,yes,no,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,yes,no,yes,yes,yes,yes
ALL_REPORTS/report_108.tsv,yes,yes,yes,no,yes,no,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,yes
ALL_REPORTS/report_109.tsv,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,no
ALL_REPORTS/report_11.tsv,no,no,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes
ALL_REPORTS/report_110.tsv,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,yes,yes,no
ALL_REPORTS/report_111.tsv,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,no
ALL_REPORTS/report_112.tsv,yes,yes,yes,no,yes,no,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,no
ALL_REPORTS/report_113.tsv,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,yes
ALL_REPORTS/report_114.tsv,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,yes
ALL_REPORTS/report_115.tsv,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,no
ALL_REPORTS/report_116.tsv,yes,yes,yes,no,yes,no,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,yes
ALL_REPORTS/report_117.tsv,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,yes
ALL_REPORTS/report_118.tsv,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,yes
ALL_REPORTS/report_119.tsv,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,yes
ALL_REPORTS/report_12.tsv,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,yes,no,yes,yes,yes,yes
ALL_REPORTS/report_120.tsv,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,yes
ALL_REPORTS/report_121.tsv,yes,no,yes,no,no,no,yes,no,no,yes,yes,yes,no,yes,yes,yes,no,yes,no,no,yes,no,yes,yes,yes,yes,yes,yes
ALL_REPORTS/report_122.tsv,yes,no,yes,yes,yes,no,yes,no,no,yes,yes,yes,yes,no,yes,yes,yes,yes,no,no,yes,no,yes,yes,yes,yes,yes,yes
ALL_REPORTS/report_123.tsv,yes,no,yes,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes
ALL_REPORTS/report_124.tsv,yes,no,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,yes,yes,yes,yes,yes,yes
ALL_REPORTS/report_125.tsv,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,yes
ALL_REPORTS/report_126.tsv,yes,no,yes,no,no,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,yes,no,yes,yes,yes,yes,yes,yes
ALL_REPORTS/report_127.tsv,yes,no,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes
ALL_REPORTS/report_128.tsv,yes,yes,yes,no,yes,no,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,yes
ALL_REPORTS/report_129.tsv,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,yes
ALL_REPORTS/report_13.tsv,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,yes
ALL_REPORTS/report_130.tsv,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,yes,yes,yes,yes
ALL_REPORTS/report_131.tsv,yes,no,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes
ALL_REPORTS/report_132.tsv,yes,no,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes
ALL_REPORTS/report_133.tsv,yes,no,no,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes
ALL_REPORTS/report_134.tsv,no,no,yes,yes,yes,no,no,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,no,no,no,no,no,yes,yes
ALL_REPORTS/report_14.tsv,yes,yes,yes,no,yes,no,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,yes
ALL_REPORTS/report_15.tsv,yes,no,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes
ALL_REPORTS/report_16.tsv,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,yes
ALL_REPORTS/report_17.tsv,no,no,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes
ALL_REPORTS/report_18.tsv,yes,yes,yes,no,yes,no,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,yes,yes,yes
ALL_REPORTS/report_19.tsv,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes
ALL_REPORTS/report_2.tsv,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes
ALL_REPORTS/report_20.tsv,no,no,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,no,no,no,no,no,yes,yes
ALL_REPORTS/report_21.tsv,yes,yes,yes,no,yes,no,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,yes
ALL_REPORTS/report_22.tsv,no,no,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes
ALL_REPORTS/report_23.tsv,no,no,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes
ALL_REPORTS/report_24.tsv,yes,yes,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,yes,yes,yes,no,yes,no,yes,yes
ALL_REPORTS/report_25.tsv,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,yes
ALL_REPORTS/report_26.tsv,yes,yes,yes,no,yes,no,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,yes,yes,yes
ALL_REPORTS/report_27.tsv,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,yes
ALL_REPORTS/report_28.tsv,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,no,yes,no
ALL_REPORTS/report_29.tsv,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,no
ALL_REPORTS/report_3.tsv,no,no,yes,no,yes,no,no,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,no,no,no,no,no,yes,yes
ALL_REPORTS/report_30.tsv,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,no,yes,no
ALL_REPORTS/report_31.tsv,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes
ALL_REPORTS/report_32.tsv,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes
