V2	type	strain.y	sample.x	strain.x	code	acession	sample.y	row	layer	cluster1	cluster2
1	DT12	DT12	ERS007564	C096	5103_3_1	ERR024387	mysnps_1	2	1	avian	other
2	DT24	DT24	ERS007582	C0105	5103_3_10	ERR024388	mysnps_2	6	1	avian	other
3	DT41	DT41	ERS007584	C0106	5103_3_11	ERR024389	mysnps_3	39	1	avian	DT56
4	DT120	DT120	ERS007566	C097	5103_3_2	ERR024391	mysnps_4	125	2	epidemic	DT193
5	DT135	DT135	ERS007567	C098	5103_3_3	ERR024392	mysnps_5	9	1	avian	other
6	DT177	DT177	ERS007572	C0100	5103_3_5	ERR024394	mysnps_6	127	2	epidemic	DT193
7	DT191A	DT191A	ERS007574	C0101	5103_3_6	ERR024395	mysnps_7	11	1	avian	other
8	DT193	DT193	ERS007576	C0102	5103_3_7	ERR024396	mysnps_8	129	2	epidemic	DT193
9	DT195	DT195	ERS007578	C0103	5103_3_8	ERR024397	mysnps_9	101	2	epidemic	U288
10	DT2B	DT2B	ERS007580	C0104	5103_3_9	ERR024398	mysnps_10	3	1	avian	other
11	DT56	DT56	ERS007588	C0108	5103_5_1	ERR024400	mysnps_11	34	1	avian	DT56
12	U302	U302	ERS007606	C0117	5103_5_10	ERR024401	mysnps_12	108	2	epidemic	DT104BC
13	U310	U310	ERS007608	C0118	5103_5_11	ERR024402	mysnps_13	90	2	epidemic	U288
14	DT7	DT7	ERS007590	C0109	5103_5_2	ERR024404	mysnps_14	121	2	epidemic	DT193
15	DT8	DT8	ERS007592	C0110	5103_5_3	ERR024405	mysnps_15	4	1	avian	other
16	DT97	DT97	ERS007594	C0111	5103_5_4	ERR024406	mysnps_16	122	2	epidemic	DT193
17	DT99	DT99	ERS007596	C0112	5103_5_5	ERR024407	mysnps_17	35	1	avian	DT56
18	DT1	DT1	ERS007598	C0113	5103_5_6	ERR024408	mysnps_18	109	2	epidemic	DT104BC
19	U276	U276	ERS007600	C0114	5103_5_7	ERR024409	mysnps_19	5	1	avian	other
20	U277	U277	ERS007602	C0115	5103_5_8	ERR024410	mysnps_20	36	1	avian	DT56
21	U288	U288	ERS007604	C0116	5103_5_9	ERR024411	mysnps_21	91	2	epidemic	U288
22	U313	U313	ERS007611	C0120	5103_6_1	ERR024413	mysnps_22	37	1	avian	DT56
23	U319	U319	ERS007613	C0121	5103_6_2	ERR024417	mysnps_23	38	1	avian	DT56
25	ND	105841997	ERS008962	105841997	4976_8_1	ERR024629	mysnps_25	92	2	epidemic	U288
26	rough	S0272405	ERS008964	S0272405	4976_8_3	ERR024634	mysnps_26	93	2	epidemic	U288
27	DT193	L0004109	ERS008980	L0004109	5116_1_7	ERR024954	mysnps_27	123	2	epidemic	DT193
28	DT101	S00705-09	ERS015602	S00705-09	5386_5_10	ERR028271	mysnps_28	70	2	epidemic	DT104A
29	DT102	3193-1995	ERS015603	3193-1995	5386_5_11	ERR028272	mysnps_29	71	2	epidemic	DT104A
30	DT1	S04696-09	ERS015598	S04696-09	5386_5_6	ERR028277	mysnps_30	72	2	epidemic	DT104A
31	DT10	10084-1995	ERS015599	10084-1995	5386_5_7	ERR028278	mysnps_31	7	1	avian	other
32	DT10	100419-1995	ERS015600	100419-1995	5386_5_8	ERR028279	mysnps_32	8	1	avian	other
33	DT101	S00454-09	ERS015601	S00454-09	5386_5_9	ERR028280	mysnps_33	73	2	epidemic	DT104A
34	U323	S05738-08	ERS015604	S05738-08	5386_6_1	ERR028282	mysnps_34	124	2	epidemic	DT193
35	DT108	547-2001	ERS015613	547-2001	5386_6_10	ERR028283	mysnps_35	74	2	epidemic	DT104A
36	DT110	10902-1996	ERS015614	10902-1996	5386_6_11	ERR028284	mysnps_36	110	2	epidemic	DT104BC
37	DT103	7828-1995	ERS015605	7828-1995	5386_6_2	ERR028285	mysnps_37	94	2	epidemic	U288
38	DT103	7830-1995	ERS015606	7830-1995	5386_6_3	ERR028286	mysnps_38	95	2	epidemic	U288
39	DT104A	7302-199	ERS015607	7302-199	5386_6_4	ERR028287	mysnps_39	75	2	epidemic	DT104A
40	DT104B	S00914-05	ERS015608	S00914-05	5386_6_5	ERR028288	mysnps_40	111	2	epidemic	DT104BC
41	DT104C	4582-1995	ERS015609	4582-1995	5386_6_6	ERR028289	mysnps_41	112	2	epidemic	DT104BC
42	U323	12005-1995	ERS015610	12005-1995	5386_6_7	ERR028290	mysnps_42	96	2	epidemic	U288
43	DT106	3203-1997	ERS015611	3203-1997	5386_6_8	ERR028291	mysnps_43	97	2	epidemic	U288
44	DT108	10984-1996	ERS015612	10984-1996	5386_6_9	ERR028292	mysnps_44	76	2	epidemic	DT104A
45	DT110	1713-1998	ERS015615	1713-1998	5386_7_1	ERR028294	mysnps_45	61	2	epidemic	193
46	DT141	1164-1995	ERS015624	1164-1995	5386_7_10	ERR028295	mysnps_46	40	1	avian	DT56
47	DT141	818-1998	ERS015625	818-1998	5386_7_11	ERR028296	mysnps_47	41	1	avian	DT56
50	DT12	S08300-02	ERS015618	S08300-02	5386_7_4	ERR028299	mysnps_50	113	2	epidemic	DT104BC
51	DT120	4284-1995	ERS015619	4284-1995	5386_7_5	ERR028300	mysnps_51	77	2	epidemic	DT104A
52	DT121	4179-2001	ERS015620	4179-2001	5386_7_6	ERR028301	mysnps_52	42	1	avian	DT56
53	DT126	8935-1995	ERS015621	8935-1995	5386_7_7	ERR028302	mysnps_53	43	1	avian	DT56
54	DT126	6940-1998	ERS015622	6940-1998	5386_7_8	ERR028303	mysnps_54	98	2	epidemic	U288
55	DT135	S06221-07	ERS015623	S06221-07	5386_7_9	ERR028304	mysnps_55	126	2	epidemic	DT193
56	DT160	3299-1997	ERS015626	3299-1997	5386_8_1	ERR028306	mysnps_56	44	1	avian	DT56
57	DT179	5544-1997	ERS015635	5544-1997	5386_8_10	ERR028307	mysnps_57	62	2	epidemic	193
58	DT193	11020-1996	ERS015636	11020-1996	5386_8_11	ERR028308	mysnps_58	99	2	epidemic	U288
59	DT160	2610-1998	ERS015627	2610-1998	5386_8_2	ERR028309	mysnps_59	45	1	avian	DT56
60	DT167	6353-1997	ERS015628	6353-1997	5386_8_3	ERR028310	mysnps_60	100	2	epidemic	U288
61	DT167	8721-1997	ERS015629	8721-1997	5386_8_4	ERR028311	mysnps_61	78	2	epidemic	DT104A
62	DT170	1008-1995	ERS015630	1008-1995	5386_8_5	ERR028312	mysnps_62	79	2	epidemic	DT104A
63	DT170	1402-2000	ERS015631	1402-2000	5386_8_6	ERR028313	mysnps_63	80	2	epidemic	DT104A
64	DT170B	S03188-03	ERS015632	S03188-03	5386_8_7	ERR028314	mysnps_64	81	2	epidemic	DT104A
65	DT170B	S09207-07	ERS015633	S09207-07	5386_8_8	ERR028315	mysnps_65	82	2	epidemic	DT104A
66	DT179	8380-1996	ERS015634	8380-1996	5386_8_9	ERR028316	mysnps_66	63	2	epidemic	193
67	DT204	9115-1996	ERS015637	9115-1995	5391_2_1	ERR028631	mysnps_67	10	1	avian	other
68	DT35	S04744-08	ERS015646	S04744-08	5391_2_10	ERR028632	mysnps_68	64	2	epidemic	193
69	DT36	7396-1998	ERS015647	7396-1998	5391_2_11	ERR028633	mysnps_69	114	2	epidemic	DT104BC
70	DT204	388-1998	ERS015638	388-1998	5391_2_2	ERR028634	mysnps_70	83	2	epidemic	DT104A
71	DT208	S08313-02	ERS015639	S08313-02	5391_2_3	ERR028635	mysnps_71	84	2	epidemic	DT104A
72	DT208	S04454-08	ERS015640	S04454-08	5391_2_4	ERR028636	mysnps_72	85	2	epidemic	DT104A
73	DT2A	S06356-04	ERS015641	S06356-04	5391_2_5	ERR028637	mysnps_73	12	1	avian	other
74	DT2A	S01491-06	ERS015642	S01491-06	5391_2_6	ERR028638	mysnps_74	13	1	avian	other
75	DT30	S06281-04	ERS015643	S06281-04	5391_2_7	ERR028639	mysnps_75	14	1	avian	other
76	DT30	S04178-09	ERS015644	S04178-09	5391_2_8	ERR028640	mysnps_76	15	1	avian	other
77	DT35	8767-1998	ERS015645	8767-1998	5391_2_9	ERR028641	mysnps_77	86	2	epidemic	DT104A
78	U311	U311	ERS014081	C0119rpt	5408_8_1	ERR028643	mysnps_78	128	2	epidemic	DT193
79	DT104b	DT104b	ERS014078	C095rpt	5477_5_6	ERR028656	mysnps_79	115	2	epidemic	DT104BC
80	DT41b	DT41b	ERS014080	C0107rpt	5477_5_8	ERR028658	mysnps_80	46	1	avian	DT56
81	DT36	S03433-05	ERS015648	S03433-05	5505_1_1	ERR029213	mysnps_81	16	1	avian	other
82	DT7	S05416-06	ERS015657	S05416-06	5505_1_10	ERR029214	mysnps_82	130	2	epidemic	DT193
83	DT8	5465-1998	ERS015658	5465-1998	5505_1_11	ERR029215	mysnps_83	17	1	avian	other
84	DT40	S05081-04	ERS015649	S05081-04	5505_1_2	ERR029216	mysnps_84	47	1	avian	DT56
85	DT40	S00060-07	ERS015650	S00060-07	5505_1_3	ERR029217	mysnps_85	48	1	avian	DT56
86	DT41	S09304-02	ERS015651	S09304-02	5505_1_4	ERR029218	mysnps_86	49	1	avian	DT56
87	DT49	6164-1997	ERS015652	6164-1997	5505_1_5	ERR029219	mysnps_87	18	1	avian	other
88	DT49	S09313-03	ERS015653	S09313-03	5505_1_6	ERR029220	mysnps_88	19	1	avian	other
89	DT56	2087-1997	ERS015654	2087-1997	5505_1_7	ERR029221	mysnps_89	50	1	avian	DT56
90	DT56VAR	S07676-03	ERS015655	S07676-03	5505_1_8	ERR029222	mysnps_90	51	1	avian	DT56
91	DT56VAR	S05451-08	ERS015656	S05451-08	5505_1_9	ERR029223	mysnps_91	52	1	avian	DT56
92	DT85	10258-1997	ERS015659	10258-1997	5505_2_1	ERR029225	mysnps_92	20	1	avian	other
93	U310	SR11-WT	ERS015668	SR11-WT	5505_2_10	ERR029226	mysnps_93	21	1	avian	other
94	DT85	2036-2000	ERS015660	2036-2000	5505_2_2	ERR029228	mysnps_94	22	1	avian	other
95	DT9	12342-1996	ERS015661	12342-1996	5505_2_3	ERR029229	mysnps_95	23	1	avian	other
96	DT9	4300-2001	ERS015662	4300-2001	5505_2_4	ERR029230	mysnps_96	24	1	avian	other
97	U288	S01960-05	ERS015663	S01960-05	5505_2_5	ERR029231	mysnps_97	102	2	epidemic	U288
98	U302	S04199-08	ERS015664	S04199-08	5505_2_6	ERR029232	mysnps_98	116	2	epidemic	DT104BC
99	U308	S05968-02	ERS015665	S05968-02	5505_2_7	ERR029233	mysnps_99	103	2	epidemic	U288
100	U308	S07292-07	ERS015666	S07292-07	5505_2_8	ERR029234	mysnps_100	87	2	epidemic	U288
101	U310	S04782-03	ERS015667	S04782-03	5505_2_9	ERR029235	mysnps_101	88	2	epidemic	U288
